번호,게임 장르,게임 이름,게임 회사,플레이 시간,기타 어필 사항,클리어 했거나 짧은 기간 플레이 한 게임들은 제외,,,,,
1,오픈월드 RPG,鬼谷八荒,鬼谷工作室,,,,,,,,
2,1인칭 슈팅액션,보더랜드2,기어박스 소프트웨어,,,,,,,,
3,1인칭 슈팅액션,보더랜드3,기어박스 소프트웨어,,,,,,,,
4,전략 시뮬레이션,시드마이어의 문명 V,파이락시스 게임즈,,,,,,,,
5,1인칭 오픈월드 ARPG,킹덤컴 2,워호스 스튜디오,,,,,,,,
6,액션 어드벤처,산나비,원더포션,,,,,,,,
7,법정배틀,"역전재판1, 2, 3, 4",캡콤,,,,,,,,
8,법정배틀,역전검사 1,캡콤,,,,,,,,
9,하이스피드 추리 액션,단간론파,스파이크 춘소프트,,,,,,,,
10,하이스피드 추리 액션,슈퍼 단간론파2,스파이크 춘소프트,,,,,,,,
11,하이스피드 추리 액션,단간론파 3,스파이크 춘소프트,,,,,,,,
12,오픈월드 ARPG,인슈라오디드,킨 게임즈,,,,,,,,
13,시뮬레이션,팀파이트 매니저,팀 사모예드,,,,,,,,
14,액션,포 아너,유비소프트,,,,,,,,
15,"무협, 전기 비주얼 노벨",활협전,Obb Studio,,,,,,,,
16,"캐주얼, 추리, 공포",Among Us,Innersloth,,,,,,,,
17,라이트 노벨 2D 액션,푸른뇌정 건볼트,인티 크리에이츠,,,,,,,,
18,턴제 RPG,발더스 게이트 3,라리안 스튜디오,,,,,,,,
19,"대전 격투, 슈팅, 중세",Chivarly: Medieval Warfare,톤 배너 스튜디오,,,,,,,,
20,오픈월드 액션 RPG,사이버펑크 2077,CD PROJEKT RED,,,,,,,,
21,3인칭 소울류 액션 RPG,다크소울 1: 리마스터,프롬 소프트웨어,,,,,,,,
22,3인칭 소울류 액션 RPG,다크소울 2,프롬 소프트웨어,,,,,,,,
23,3인칭 소울류 액션 RPG,다크소울 3,프롬 소프트웨어,,,,,,,,
24,3인칭 액션 어드벤처,세키로: 섀도우 다이 트와이스,프롬 소프트웨어,,,,,,,,
25,3인칭 오픈월드 ARPG,엘든 링: 황금 나무의 그림자,프롬 소프트웨어,,,,,,,,
26,협력형 서바이벌 액션,엘든 링 밤의 통치자,프롬 소프트웨어,,,,,,,,
27,리듬,DJMAX RESPECT V,로키 스튜디오,,,,,,,,
28,오픈월드 ARPG,엘더스크롤 5: 스카이림,베데스다 게임 스튜디오,,,,,,,,
29,서바이벌 호러,The Forest,Endnight,,,,,,,,
30,"추리, 퍼즐",Ghost Trick,캡콤,,,,,,,,
31,오픈 월드 액션 어드벤처,Grand Theft Auto: San Andreas,락스타 노스,,,,,,,,
32,오픈 월드 액션 어드벤처,Grand Theft Auto V,락스타 노스,,,,,,,,
33,오픈 월드 액션 어드벤처,Grand Theft Auto: Chinatown Wars,락스타 노스,,,,,,,,
34,대법정배틀,대역전재판 -나루호도 류노스케의 모험-,캡콤,,,,,,,,
35,대법정배틀,대역전재판2 -나루호도 류노스케의 각오-,캡콤,,,,,,,,
36,"어드벤처, 퍼즐",헬테이커,vanripper,,,,,,,,
37,"플랫포머, 메트로배니아",할로우 나이트,Team Cherry,,,,,,,,
38,"퍼즐, CCG, 로그라이크, 호러",Inscryption,Daniel Mullins Games,,,,,,,,
39,핵 앤 슬래시,카타나 제로,Askiisoft,,,,,,,,
40,대전 격투,더 킹 오브 파이터즈 XV,SNK,,,,,,,,
41,"어드벤처, 퍼즐, 추리",Legal Dungeon,SOMI,,,,,,,,
42,오픈월드 생존,Life is Feudal: MMO,LTG,,,,,,,,
43,헌팅 액션,몬스터 헌터: 월드,캡콤,,,,,,,,
44,횡스크롤 리듬,뮤즈 대시,PeroPeroGames,,,,,,,,
45,"심리 호러, RPG",OMORI,OMOCAT,,,,,,,,
46,3인칭 액션 RPG,P의 거짓,라운드8 스튜디오,,,,,,,,
47,"오픈월드, TPS, 서바이벌",팰월드,PocketPair,,,,,,,,
48,"액션, FPS",PAYDAY 2,스타브리즈 스튜디오,,,,,,,,
49,내러티브 RPG 어드벤처,Pentiment,옵시디언 엔터테인먼트,,,,,,,,
50,"액션, 캐주얼",Pummel Party,Rebuilt Games,,,,,,,,
51,"RPG, 탑뷰 탄막 런앤건",Realm of the Mad God,Wild Shadow Studios,,,,,,,,
52,오픈 월드 액션 어드벤처,Red Dead Redemption 2,락스타 스튜디오,,,,,,,,
53,"샌드박스, 생존, FPS",Rust,Facepunch Studios,,,,,,,,
54,"덱 빌딩, 전략, 로그라이크",Slay the Spire,Mega Crit Games,,,,,,,,
55,RPG,Spiral Knights,"Grey Havens, LLC",,,,,,,,
56,대전 격투,철권 7,반다이 남코 엔터테인먼트,,,,,,,,
57,대전 격투,철권 6,반다이 남코 엔터테인먼트,,,,,,,,
58,"인디, 샌드박스, 횡스크롤, RPG",테라리아,Re-Logic,,,,,,,,
59,"퍼즐, 잠입, 코미디",Untitled Goose Game,House House,,,,,,,,
60,오픈 월드 생존 액션 RPG,V Rising,Stunlock Studios,,,,,,,,
61,"탄막 슈팅, 핵 앤 슬래시",Vampire Survivors,poncle,,,,,,,,
62,"건설 경영 시뮬레이션, 생존",Frostpunk,11 비트 스튜디오,,,,,,,,
63,"생존, 어드벤처",This War of Mine,11 비트 스튜디오,,,,,,,,
64,액션 플랫포머,Get To Work,Isto Inc,,,,,,,,
65,"액션 플랫포머, 메트로배니아 어드벤처",오리와 눈먼 숲,문 스튜디오,,,,,,,,
66,"액션 플랫포머, 메트로배니아 어드벤처",오리와 도깨비불,문 스튜디오,,,,,,,,
67,"인디, 슈팅, 퍼즐, 공포",Undertale,Toby Fox,,,,,,,,
68,"비주얼 노벨, 퍼즐",7 Days to End with You,Lizardry,,,,,,,,
69,"캐주얼, 어드벤처",Refind Self: 성격 진단 게임,Lizardry,,,,,,,,
70,"TPS, 액션 어드벤처",A Way Out,헤이즈라이트 스튜디오,,,,,,,,
71,턴제 RPG,Clair Obscur: Expedition 33,샌드폴 인터랙티브,,,,,,,,
72,액션 플랫포머,슈퍼 마리오 64,닌텐도,,,,,,,,
73,액션 플랫포머,슈퍼 마리오 랜드2 6개의 금화,닌텐도,,,,,,,,
74,액션 어드벤처,슈퍼 마리오 오디세이,닌텐도,,,,,,,,
75,레이싱,마리오 카트 DS,닌텐도,,,,,,,,
76,레이싱,마리오 카트 8 디럭스,닌텐도,,,,,,,,
77,액션 어드벤처,젤다의 전설1,닌텐도,,,,,,,,
78,액션 어드벤처,젤다의 전설 이상한 모자,플래그십,,,,,,,,
79,액션 어드벤처,젤다의 전설 몽환의 모래시계,닌텐도,,,,,,,,
80,액션 어드벤처,젤다의 전설 시간의 오카리나,닌텐도,,,,,,,,
81,액션 어드벤처,젤다의 전설 스카이워드 소드,닌텐도,,,,,,,,
82,3인칭 오픈월드 액션 어드벤처,젤다의 전설 브레스 오브 더 와일드,닌텐도,,,,,,,,
83,난투형 액션,슈퍼 스매시브라더스 얼티밋,닌텐도,,,,,,,,
84,RPG,포켓몬스터 레드,게임프리크,,,,,,,,
85,RPG,포켓몬스터 피카츄,게임프리크,,,,,,,,
86,RPG,포켓몬스터 골드,게임프리크,,,,,,,,
87,RPG,포켓몬스터 에메랄드,게임프리크,,,,,,,,
88,RPG,포켓몬스터 파이어레드,게임프리크,,,,,,,,
89,RPG,포켓몬스터DP 디아루가,게임프리크,,,,,,,,
90,RPG,포켓몬스터 Pt 기라티나,게임프리크,,,,,,,,
91,RPG,포켓몬스터 하트골드,게임프리크,,,,,,,,
92,RPG,포켓몬스터 화이트,게임프리크,,화이트부터 울트라 썬 까지 레이팅 플레이,,,,,,
93,RPG,포켓몬스터 블랙2,게임프리크,,,,,,,,
94,RPG,포켓몬스터 X,게임프리크,,,,,,,,
95,RPG,포켓몬스터 알파사파이어,게임프리크,,,,,,,,
96,RPG,포켓몬스터 썬,게임프리크,,,,,,,,
97,RPG,포켓몬스터 울트라썬,게임프리크,,,,,,,,
98,RPG,포켓몬스터 소드,게임프리크,,,,,,,,
99,RPG,Pok?mon LEGENDS 아르세우스,게임프리크,,,,,,,,
100,RPG,포켓몬스터 스칼렛,게임프리크,,,,,,,,
101,플랫폼 액션 게임,별의 커비 울트라 슈퍼 디럭스,HAL 연구소,,,,,,,,
102,플랫폼 액션 게임,별의 커비 도팡 일당의 습격,HAL 연구소,,,,,,,,
103,"오픈월드, 샌드박스, 서바이벌",마인크래프트,Mojang Studios,,,,,,,,
104,TPS,Helldivers 2,Arrowhead Game Studios,,,,,,,,
105,탄막 슈팅,동방홍마향 ~ the Embodiment of Scarlet Devil.,상하이 앨리스 환악단,,,,,,,,
106,탄막 슈팅,동방요요몽 ~ Perfect Cherry Blossom.,상하이 앨리스 환악단,,,,,,,,
107,탄막 슈팅,동방영야초 ~ Imperishable Night.,상하이 앨리스 환악단,,,,,,,,
108,탄막 슈팅,동방홍룡동 ~ Unconnected Marketeers.,상하이 앨리스 환악단,,,,,,,,
