id,category,title,company,target_filename
pc-3,PC,FC온라인,EA Sports/Nexon,fc온라인.jpg
pc-6,PC,osu!,ppy,osu.jpg
pc-7,PC,검은사막,펄어비스,검은사막.jpg
pc-8,PC,귀혼,엠게임,귀혼.jpg
pc-9,PC,그랜드체이스,KOG,그랜드체이스.jpg
pc-10,PC,던전앤파이터,넥슨,던전앤파이터.jpg
pc-12,PC,로스트아크,스마일게이트 RPG,로스트아크.jpg
pc-13,PC,리그 오브 레전드,라이엇 게임즈,리그_오브_레전드.jpg
pc-14,PC,마블 라이벌즈,넷이즈 게임즈,마블_라이벌즈.jpg
pc-15,PC,메이플스토리,넥슨,메이플스토리.jpg
pc-16,PC,메이플스토리 월드,넥슨,메이플스토리_월드.jpg
pc-17,PC,발로란트,라이엇 게임즈,발로란트.jpg
pc-18,PC,에버플래닛,넥슨,에버플래닛.jpg
pc-19,PC,이터널 리턴,님블뉴런,이터널_리턴.jpg
pc-20,PC,스타크래프트 II,블리자드 엔터테인먼트,스타크래프트_ii.jpg
pc-21,PC,오버워치,블리자드 엔터테인먼트,오버워치.jpg
pc-22,PC,포트리스 2,CCR,포트리스_2.jpg
pc-23,PC,바람의나라,넥슨,바람의나라.jpg
pc-24,PC,서든어택,넥슨지티,서든어택.jpg
pc-25,PC,카트라이더: 드리프트,넥슨,카트라이더_드리프트.jpg
pc-26,PC,크레이지아케이드,넥슨,크레이지아케이드.jpg
pc-27,PC,테일즈위버,넥슨,테일즈위버.jpg
pc-28,PC,클로저스,Nadic Games,클로저스.jpg
pc-29,PC,워크래프트 III: 리포지드,블리자드 엔터테인먼트,워크래프트_iii_리포지드.jpg
pc-30,PC,배틀라이트,Stunlock Studios,배틀라이트.jpg
pc-31,PC,버블슈터,다수,버블슈터.jpg
pc-32,PC,버블파이터,넥슨,버블파이터.jpg
pc-33,PC,봄버맨 온라인,Hudson Soft,봄버맨_온라인.jpg
pc-34,PC,뿌까 퍼니레이스,다수,뿌까_퍼니레이스.jpg
pc-35,PC,서머너즈 워: 크로니클,컴투스,서머너즈_워_크로니클.jpg
pc-36,PC,서유기전 온라인,엠게임,서유기전_온라인.jpg
pc-37,PC,SUPERVIVE,Theorycraft Games,supervive.jpg
pc-38,PC,스타크래프트,블리자드 엔터테인먼트,스타크래프트.jpg
pc-39,PC,얍카,다수,얍카.jpg
pc-40,PC,에어라이더,넥슨,에어라이더.jpg
pc-41,PC,엑스틸,엔씨소프트,엑스틸.jpg
pc-42,PC,엘소드,KOG,엘소드.jpg
pc-43,PC,열혈강호,엠게임,열혈강호.jpg
pc-44,PC,우뿌,다수,우뿌.jpg
pc-45,PC,워헤이븐,넥슨,워헤이븐.jpg
pc-46,PC,웜즈 온라인,Team17,웜즈_온라인.jpg
pc-47,PC,윈드슬레이어,다수,윈드슬레이어.jpg
pc-48,PC,전략적 팀 전투,라이엇 게임즈,전략적_팀_전투.jpg
pc-49,PC,커츠펠,KOG,커츠펠.jpg
pc-50,PC,케로로파이터,다수,케로로파이터.jpg
pc-51,PC,쿵야 어드벤처,넷마블,쿵야_어드벤처.jpg
pc-52,PC,큐플레이,넥슨,큐플레이.jpg
pc-53,PC,크레이지레이싱 카트라이더,넥슨,크레이지레이싱_카트라이더.jpg
pc-54,PC,톰 클랜시의 레인보우식스 시즈,유비소프트,톰_클랜시의_레인보우식스_시즈.jpg
pc-55,PC,Path of Exile 2,Grinding Gear Games,path_of_exile_2.jpg
pc-56,PC,프리프,Gala Lab,프리프.jpg
pc-57,PC,피구왕 마시마로,다수,피구왕_마시마로.jpg
pc-58,PC,하스스톤,블리자드 엔터테인먼트,하스스톤.jpg
pc-59,PC,하이퍼유니버스,Cwiggl,하이퍼유니버스.jpg
pc-60,PC,히어로즈 오브 더 스톰,블리자드 엔터테인먼트,히어로즈_오브_더_스톰.jpg
pc-61,PC,마법학교 아르피아,엔씨소프트,마법학교_아르피아.jpg
pc-62,PC,마법학교 아스티넬,엔씨소프트,마법학교_아스티넬.jpg
pc-63,PC,믹스마스터,다수,믹스마스터.jpg
pc-64,PC,바우트,다수,바우트.jpg
pc-65,PC,라테일,HappyTuk,라테일.jpg
pc-66,PC,디지몬 RPG,MoveGames,디지몬_rpg.jpg
pc-67,PC,디지몬 온라인,Bandai,디지몬_온라인.jpg
pc-68,PC,로스트사가,Valofe,로스트사가.jpg
mobile-6,Mobile,Pokémon Duel,The Pokémon Company,pokemon_duel.jpg
mobile-8,Mobile,블루 아카이브,넥슨게임즈,블루_아카이브.jpg
mobile-12,Mobile,Plague Inc. (전염병 주식회사),Ndemic Creations,plague_inc_전염병_주식회사.jpg
mobile-17,Mobile,2010 프로야구,게임빌,2010_프로야구.jpg
mobile-18,Mobile,2011 프로야구,게임빌,2011_프로야구.jpg
mobile-20,Mobile,2013 프로야구,게임빌,2013_프로야구.jpg
mobile-23,Mobile,Subway Surfers,Kiloo,subway_surfers.jpg
mobile-24,Mobile,Temple Run,Imangi Studios,temple_run.jpg
mobile-26,Mobile,Blockudoku - 블록 퍼즐 게임,Easybrain,blockudoku_블록_퍼즐_게임.jpg
mobile-32,Mobile,궁수의 전설,Habby,궁수의_전설.jpg
mobile-34,Mobile,Groove Coaster 2,Taito,groove_coaster_2.jpg
mobile-35,Mobile,길건너 친구들,Hipster Whale,길건너_친구들.jpg
mobile-36,Mobile,깨어난 마녀,Yostar,깨어난_마녀.jpg
